objectId,id,MJD,FLT,FLUXCAL,FLUXCALERR
ZTF18acpdvos,707460030515010001,58572.20818290021,g,23065.666054114437,1001.4608962494378
ZTF18acpdvos,707460030515010001,58575.254247699864,g,22870.876038600694,772.3494738614701
ZTF18acpdvos,707460030515010001,58581.209907399956,g,23176.97754496824,690.8919191023383
ZTF18acpdvos,707460030515010001,58582.26759260008,r,2542.9580741236946,231.51780711814095
ZTF18acpdvos,707460030515010001,58584.22748839995,g,23252.368662131747,839.7606556672642
ZTF18acpdvos,707460030515010001,58587.20875000022,g,23575.49390800495,905.5332964375259
ZTF18acpdvos,707460030515010001,58592.1379976999,g,24224.900392365606,736.6625760420883
ZTF18acpdvos,707460030515010001,58598.22826390015,g,23758.48808161108,1010.6672299130668
ZTF18acpdvos,707460030515010001,58606.150023099966,g,23312.411475272173,673.0573146458682
ZTF18acpdvos,707460030515010001,58775.519814800005,g,25590.195278719948,795.5784471425334
ZTF18acpdvos,707460030515010001,58778.52376159979,g,25423.281135626064,794.8678764639634
ZTF18acpdvos,707460030515010001,58789.50459490018,g,25278.54075636581,810.0016721109478
ZTF18acpdvos,707460030515010001,58792.54055560008,g,25058.692104888432,798.241014181856
ZTF18acpdvos,707460030515010001,58819.54630789999,g,25235.760669588624,1752.613207479781
ZTF18acpdvos,707460030515010001,58830.54887730023,g,24811.16746207121,699.3442913000852
ZTF18acpdvos,707460030515010001,58836.55047449982,g,25472.407862054308,500.4569369612911
ZTF18acpdvos,707460030515010001,58849.48057870008,g,25602.194936660937,613.0678898111365
ZTF18acpdvos,707460030515010001,58852.48239579983,g,25039.912100254704,928.9190211349185
ZTF18acpdvos,707460030515010001,58855.459919000044,g,24697.215996472823,444.730784128954
ZTF18acpdvos,707460030515010001,58864.40141199995,g,24604.083939672782,729.2852474905391
ZTF18acpdvos,707460030515010001,58867.397638900205,g,25653.108617589533,758.7777809940613
ZTF18acpdvos,707460030515010001,58873.35731479991,g,25358.525651668817,728.0893862231186
ZTF18acpdvos,707460030515010001,58876.37818290014,g,25321.60326232345,733.6729659644868
ZTF18acpdvos,707460030515010001,58876.37818290014,g,25325.61497413714,734.994910947966
ZTF18acpdvos,707460030515010001,58883.41810189979,g,24823.236215286906,693.1319167088003
ZTF18acpdvos,707460030515010001,58891.21351849986,g,25772.704836548037,819.1218417966832
ZTF18acpdvos,707460030515010001,58894.31515049981,g,25677.314474002553,848.2082002609403
ZTF18acpdvos,707460030515010001,58898.29105320014,g,25781.63169661681,780.7591467390537
ZTF18acpdvos,707460030515010001,58904.27340279985,g,25639.904308169593,741.0520045132628
ZTF18acpdvos,707460030515010001,58909.23494210001,g,25866.257697484416,959.7534638366051
ZTF18acpdvos,707460030515010001,58912.23122690013,g,25433.773537035402,707.9765656337947
ZTF18acpdvos,707460030515010001,58940.1746991002,g,25445.559228537324,763.7868132403337
ZTF18acpdvos,707460030515010001,58955.1845602002,g,25587.932712425147,823.8700928060655
ZTF18acpdvos,707460030515010001,58963.19076390006,g,25275.909982470977,751.1984962837147
ZTF18acpdvos,707460030515010001,58963.24555560015,g,25991.68290287097,801.987609382599
ZTF18acpdvos,707460030515010001,58966.21214119997,g,25759.889752928964,990.604250984906
ZTF18acpdvos,707460030515010001,58976.17395830015,g,25539.66521238742,714.9675755130656
ZTF18acpdvos,707460030515010001,58979.21084489999,g,25561.645054561268,738.0132791896392
ZTF18acpdvos,707460030515010001,58987.21499999985,g,25615.946055648274,704.1165043043076
ZTF18acpdvos,707460030515010001,58996.16387729999,g,25335.97372655372,763.1452967038473
ZTF18acpdvos,707460030515010001,59144.504814799875,g,25599.93130941197,826.3290092642101
ZTF18acpdvos,707460030515010001,59146.49802079983,g,26555.32371935315,3076.5595413002266
ZTF18acpdvos,707460030515010001,59150.51975690015,g,25895.67286074099,637.9583590415716
ZTF18acpdvos,707460030515010001,59151.47603010014,g,25892.810923365927,799.980074949996
ZTF18acpdvos,707460030515010001,59152.50814810023,g,25337.28053672807,675.0085852085339
ZTF18acpdvos,707460030515010001,59153.524467600044,g,25653.793820940115,671.0335234583878
ZTF18acpdvos,707460030515010001,59156.500173599925,g,25217.684097131725,794.0956864329762
ZTF18acpdvos,707460030515010001,59158.49855320016,g,25440.520938779493,769.5502559329783
ZTF18acpdvos,707460030515010001,59165.52259259997,g,25627.15525758368,907.3690310123793
ZTF18acpdvos,707460030515010001,59168.519525500014,g,25597.64430598992,609.0060450853109
ZTF18acpdvos,707460030515010001,59170.48287039995,g,25473.651323000176,697.2944782853268
ZTF18acpdvos,707460030515010001,59173.499050899874,g,25991.68290287097,873.9940613296912
ZTF18acpdvos,707460030515010001,59174.528483800124,g,25672.348521339256,1180.8839379384767
ZTF18acpdvos,707460030515010001,59176.50289350003,g,25397.957960479944,707.1459437408389
ZTF18acpdvos,707460030515010001,59179.483298600186,g,25751.397339886335,796.0570471046741
ZTF18acpdvos,707460030515010001,59185.48525460018,g,25489.422734381296,733.1519710071265
ZTF18acpdvos,707460030515010001,59198.517847199924,g,25350.25895230293,722.7230069691565
ZTF18acpdvos,707460030515010001,59205.43413189985,g,26555.837349817706,2581.166271923053
ZTF18acpdvos,707460030515010001,59228.42195599992,g,25667.35988856042,600.7124466947015
ZTF18acpdvos,707460030515010001,59258.371157399844,g,25882.98734534702,909.2572816584542
ZTF18acpdvos,707460030515010001,59266.2786921002,g,26182.33648857705,746.9566378501705
ZTF18acpdvos,707460030515010001,59268.22601850005,g,25440.731823924878,712.1685411201272
ZTF18acpdvos,707460030515010001,59270.25405090023,g,25143.446054713088,764.4666452863052
ZTF18acpdvos,707460030515010001,59273.37737269979,g,25191.28956521643,998.7882540726121
ZTF18acpdvos,707460030515010001,59275.30909720017,g,25840.77889129301,708.7281204015636
ZTF18acpdvos,707460030515010001,59305.29202549998,g,25675.327977676472,665.181321987623
ZTF18acpdvos,707460030515010001,59307.15604169993,g,25440.239761304772,990.4651253879853
ZTF18acpdvos,707460030515010001,59309.170509300195,g,25400.695016850783,876.6057089572689
ZTF18acpdvos,707460030515010001,59311.20762730017,g,25342.34506283962,811.0292519263539
ZTF18acpdvos,707460030515010001,59315.19327550009,g,25184.353111868313,757.7146393774176
ZTF18acpdvos,707460030515010001,59317.172546300106,g,25438.529331954553,741.2502100394375
ZTF18acpdvos,707460030515010001,59317.172546300106,g,25437.826449124208,741.2269876162825
ZTF18acpdvos,707460030515010001,59335.21379629988,g,25856.849046078667,776.7813757645646
ZTF18acpdvos,707460030515010001,59338.17096060002,g,25170.277289526046,635.5534552890697
ZTF18acpdvos,707460030515010001,59340.18833329994,g,25752.298636369924,790.783434738312
ZTF18acpdvos,707460030515010001,59342.22777780006,g,26010.69759911927,709.9847796217591
ZTF18acpdvos,707460030515010001,59344.17399309995,g,25612.21860787273,771.5341531329738
ZTF18acpdvos,707460030515010001,59348.21402780013,g,25652.919599196375,701.1263669016985
ZTF18acpdvos,707460030515010001,59361.242337999865,g,25750.496074946943,850.9726872601095
ZTF18acpdvos,707460030515010001,59509.514675899874,g,25610.18997185774,818.0701730466589
ZTF18acpdvos,707460030515010001,59512.48967589997,g,26499.64158358156,760.4271656100744
ZTF18acpdvos,707460030515010001,59525.48297449993,g,24942.960559590825,699.5423430588676
ZTF18acpdvos,707460030515010001,59530.49769680016,g,25857.611138527358,829.2284597168995
ZTF18acpdvos,707460030515010001,59550.45715280017,g,25421.80598886667,761.6176848043513
ZTF18acpdvos,707460030515010001,59674.3610417,g,25932.166418206347,813.8975879653057
ZTF18acpdvos,707460030515010001,59695.27075230004,g,24253.47653959825,1805.457238596137
ZTF18acpdvos,707460030515010001,59715.2373147998,g,26044.906339604207,742.5118178046034
ZTF18acpdvos,707460030515010001,59879.46446759999,g,25609.623869554518,820.0831965584196
ZTF18acpdvos,707460030515010001,59881.46348380018,g,25958.524306381973,749.4167080015364
ZTF18acpdvos,707460030515010001,59888.45825230004,g,25677.59827173831,1009.1581476574705
ZTF18acpdvos,707460030515010001,59893.44200230017,g,25613.516075616084,862.073744431755
ZTF18acpdvos,707460030515010001,59904.4346758998,g,25818.796827475853,880.6016191167404
ZTF18acpdvos,707460030515010001,59906.42414350016,g,25686.847064318546,645.12667408828
ZTF18acpdvos,707460030515010001,59935.33749999991,g,25992.065933287504,909.3599237722447
ZTF18acpdvos,707460030515010001,60239.4967939998,g,25707.41449622149,856.2925422298277
ZTF18acpdvos,707460030515010001,60250.47619209997,g,25560.797515387232,747.615146238377
ZTF18actaqdw,696370410515015007,58450.37041669991,r,731.6106182592042,161.8695478847456
ZTF18actaqdw,696370410515015007,58456.213634300046,r,926.4031007364013,235.44819667163958
ZTF18actaqdw,696370410515015007,58456.26734950021,r,961.4670382203802,153.39198905729285
ZTF18actaqdw,696370410515015007,58465.48783560004,r,1044.0468802860755,189.43682904928704
ZTF18actaqdw,696370410515015007,58468.405520800035,g,1537.1618591920196,160.17469392636428
ZTF18actaqdw,696370410515015007,58468.4916087999,r,1074.6820621642205,239.97182792890874
ZTF18actaqdw,696370410515015007,58471.1146296002,g,1678.1856377824345,343.07473456810254
ZTF18actaqdw,696370410515015007,58474.11523150001,g,1517.749155861248,343.7812530686418
ZTF18actaqdw,696370410515015007,58474.30013890006,r,1443.0454174374993,304.22848483991214
ZTF18actaqdw,696370410515015007,58480.4339815001,r,1660.1984344898644,336.40053935999026
ZTF18actaqdw,696370410515015007,58483.171481499914,g,1634.9451978068525,140.209181853663
ZTF18actaqdw,696370410515015007,58487.1813194002,g,1718.2011287351997,149.01898752889082
ZTF18actaqdw,696370410515015007,58487.252719900105,r,1522.1140683406593,170.45280080519808
ZTF18actaqdw,696370410515015007,58491.17244210001,g,1589.3853293830746,195.94957151992824
ZTF18actaqdw,696370410515015007,58491.22422449989,r,1396.223039003239,202.33103377297837
ZTF18actaqdw,696370410515015007,58495.23917819979,g,1611.0640250758822,229.65760697527975
ZTF18actaqdw,696370410515015007,58509.19535879977,g,1447.4740948871479,235.82985109864623
ZTF18actaqdw,696370410515015007,58523.138136600144,g,1145.3768472538236,159.6231017923375
ZTF18actaqdw,696370410515015007,58523.174652799964,r,927.7402524197187,157.79585275747664
ZTF19aabbnzo,726284531115015024,58480.284537000116,g,662.6435881206504,176.15295734143143
ZTF19aabbnzo,726284531115015024,58486.45026620012,r,1223.8269144863214,278.1255087844629
ZTF19aabbnzo,726284531115015024,58488.24921299983,g,1791.5742014258103,179.75169339361148
ZTF19aabbnzo,726284531115015024,58490.21390049998,r,1433.347852205453,197.854898553175
ZTF19aabbnzo,726284531115015024,58492.26581020001,g,2347.253525345296,609.7903560368719
ZTF19aabbnzo,726284531115015024,58493.234224500135,g,2322.582770449513,218.8616719360671
ZTF19aabbnzo,726284531115015024,58495.248622700106,g,2747.35765382464,235.46894331584522
