candid,dec,fid,jd,magpsf,objectId,ra,sigmapsf
1735495230015010000,45.5922374,1,2459489.9952315,19.217522,ZTF18aahqkbt,123.860876,0.1174359
1733492960015010000,45.5922106,2,2459487.992963,19.47652,ZTF18aahqkbt,123.8608551,0.18355711
1720452410015010000,45.5921716,1,2459474.952419,19.192959,ZTF18aahqkbt,123.860861,0.10903448
1720451483915010000,34.2621537,1,2459474.9514815,20.027212,ZTF18aabtxvd,119.2272346,0.19378985
1718454290015010000,45.5921443,1,2459472.954294,18.67858,ZTF18aahqkbt,123.8609588,0.10914498
1709297730815015004,85.0087857,2,2459463.7977315,19.950455,ZTF20abfcszi,7.8050591,0.11967755000000001
1681258590815015002,85.0088198,2,2459435.7585995,20.303152,ZTF20abfcszi,7.8067079,0.18733062
1622361940115015035,30.692164,1,2459376.8619444,20.347538,ZTF18acaqdaa,262.0164129,0.20823291
1616391230115015027,30.6920928,1,2459370.8912384,20.624462,ZTF18acaqdaa,262.016359,0.19645754
1615214994415015007,27.440608,1,2459369.715,20.284573,ZTF20abnorit,171.3583879,0.1933712
1611194694415015008,27.4405669,1,2459365.6946991,20.269466,ZTF20abnorit,171.3583959,0.19892454
1607242330515010004,1.6927911,1,2459361.742338,16.473036,ZTF18acpdvos,151.7119819,0.035880137
1594245904415015010,27.440645,1,2459348.7459028,20.177862,ZTF20abnorit,171.3584522,0.15957591000000002
1594214020515010018,1.6927906,1,2459348.7140278,16.477158,ZTF18acpdvos,151.7119915,0.029674511
1592291564415015004,27.440637,2,2459346.7915625,20.304777,ZTF20abnorit,171.3584986,0.20375924
1590289404415015008,27.4406066,1,2459344.7894097,20.14891,ZTF20abnorit,171.3584658,0.16623469
1590223684415015015,27.4406939,2,2459344.7236806,20.571129,ZTF20abnorit,171.3584914,0.17690194
1590173990515010015,1.6927898,1,2459344.6739931,16.478882,ZTF18acpdvos,151.711987,0.032706346000000004
1589394450115015124,30.6920647,1,2459343.894456,20.818512,ZTF18acaqdaa,262.0163237,0.20330706
1588257464415015008,27.440607,2,2459342.7574653,20.33262,ZTF20abnorit,171.3585126,0.1638464
1588236924415015010,27.4405985,1,2459342.7369213,20.149624,ZTF20abnorit,171.3583948,0.19762015
1588227770515010023,1.6927857,1,2459342.7277778,16.46212,ZTF18acpdvos,151.7119909,0.029636104000000003
1586214954415015005,27.4406683,1,2459340.7149537,20.144028,ZTF20abnorit,171.3584158,0.20647906
1586188330515010018,1.6927932,1,2459340.6883333,16.47296,ZTF18acpdvos,151.7119937,0.033340003
1584299054415015013,27.440603,1,2459338.7990509,20.354872,ZTF20abnorit,171.358434,0.17894815
1584239034415015013,27.44061,2,2459338.7390394,20.332607,ZTF20abnorit,171.3585108,0.15636665
1584178430015010000,45.5922127,1,2459338.6784375,19.018183,ZTF18aahqkbt,123.8609536,0.08401648
1584170960515010014,1.6927905,1,2459338.6709606,16.49778,ZTF18acpdvos,151.7119918,0.027414994
1582218093915010000,34.2620617,1,2459336.7180903,20.006516,ZTF18aabtxvd,119.2272404,0.19730422
1581255774415015008,27.4405821,1,2459335.7557755,20.17268,ZTF20abnorit,171.3584013,0.17846403
1581221300015010000,45.5921621,1,2459335.7213079,19.093315,ZTF18aahqkbt,123.8610125,0.121945284
1581213790515010010,1.6927953,1,2459335.7137963,16.468561,ZTF18acpdvos,151.7119887,0.032617245
1575180990015010000,45.5922805,1,2459329.6809954,19.18622,ZTF18aahqkbt,123.8609013,0.17836863
1571206820015010000,45.5922087,1,2459325.7068287,19.022825,ZTF18aahqkbt,123.8609448,0.11501707
1567289434415015013,27.440597,2,2459321.7894329,20.231241,ZTF20abnorit,171.3584445,0.1961523
1567255254415015021,27.4406644,1,2459321.7552546,20.01863,ZTF20abnorit,171.3584447,0.1592806
1565246400015010001,45.5921875,1,2459319.7464005,19.1193,ZTF18aahqkbt,123.8609533,0.077982955
1563195944415015017,27.4405996,2,2459317.6959491,20.234898,ZTF20abnorit,171.3585021,0.13584459000000002
1563185633915010000,34.2621025,1,2459317.6856366,19.97625,ZTF18aabtxvd,119.2272998,0.17752431
1563175944415015015,27.4406552,1,2459317.6759491,19.981031,ZTF20abnorit,171.3584393,0.1131938
1563172540515010026,1.6927941999999998,1,2459317.6725463,16.48627,ZTF18acpdvos,151.7119905,0.031637117
1562221490015010000,45.5921883,1,2459316.7214931,19.160498,ZTF18aahqkbt,123.8609141,0.07465295
1561228324415015016,27.4406665,1,2459315.7283218,19.90152,ZTF20abnorit,171.3584408,0.12073556
1561206523915010000,34.262146,1,2459315.7065278,19.959265,ZTF18aabtxvd,119.2272529,0.1783025
1561193270515010012,1.6927887,1,2459315.6932755,16.497173,ZTF18acpdvos,151.711992,0.032666225
1560219870015010000,45.5922381,1,2459314.7198727,19.174175,ZTF18aahqkbt,123.8609152,0.08415395
1559248874415015013,27.4406305,1,2459313.7488773,19.853085,ZTF20abnorit,171.3584794,0.13176173
1558261050015010001,45.5921913,2,2459312.7610532,20.065544,ZTF18aahqkbt,123.8609232,0.18088995
1558204820015010001,45.5921971,1,2459312.7048264,19.08138,ZTF18aahqkbt,123.8609681,0.07857326
1555254224415015025,27.4406151,2,2459309.7542245,20.25431,ZTF20abnorit,171.3584629,0.17502798
1555194654415015010,27.4406331,1,2459309.6946528,19.819155,ZTF20abnorit,171.358463,0.10850307000000001
1555170500515010010,1.6927936,1,2459309.6705093,16.487886,ZTF18acpdvos,151.7119897,0.037469920000000004
1554238170015010000,45.5922063,1,2459308.7381713,19.234932,ZTF18aahqkbt,123.8609637,0.0837835
1553309284415015015,27.440639,1,2459307.8092824,19.773363,ZTF20abnorit,171.3584512,0.14303425
1553245434415015012,27.4406027,2,2459307.7454398,20.017706,ZTF20abnorit,171.3584741,0.16025569
1553156040515010017,1.6927908999999999,1,2459307.6560417,16.486197,ZTF18acpdvos,151.7119941,0.042270955000000006
1552286700015010000,45.5922064,1,2459306.7867014,19.180979,ZTF18aahqkbt,123.8609771,0.09379563
1551292020515010007,1.6927897,1,2459305.7920255,16.476210000000002,ZTF18acpdvos,151.7119918,0.0281286
1550235904415015005,27.4404433,1,2459304.7359028,19.755875,ZTF20abnorit,171.3585294,0.1750907
1550204270015010000,45.5922399,1,2459304.7042708,19.079765,ZTF18aahqkbt,123.86088290000001,0.13840562
1550163540015010000,45.5922291,2,2459304.6635417,19.477535,ZTF18aahqkbt,123.8607244,0.11654626
1542285240015010000,45.5922656,1,2459296.7852431,19.076674,ZTF18aahqkbt,123.8610676,0.15863506
1540164270015010000,45.5922244,1,2459294.6642708,19.136656,ZTF18aahqkbt,123.8609444,0.11784834400000001
1539297174415015015,27.440642,1,2459293.7971759,19.539322,ZTF20abnorit,171.3584408,0.10849552600000001
1539236774415015006,27.4406099,2,2459293.7367708,20.070618,ZTF20abnorit,171.3584282,0.14823854
1539154613915010000,34.2621231,1,2459293.6546181,20.27024,ZTF18aabtxvd,119.2272776,0.18918158000000002
1538181460015010005,45.5922338,1,2459292.6814699,19.166082,ZTF18aahqkbt,123.8609269,0.114673
1537337074415015008,27.4406259,2,2459291.8370718,19.886066,ZTF20abnorit,171.358438,0.13463609
1537286784415015021,27.4406305,1,2459291.7867824,19.638878,ZTF20abnorit,171.3584545,0.12856479
1536220970015010001,45.5922208,1,2459290.7209722,19.127161,ZTF18aahqkbt,123.8609112,0.0873072
1527291114415015021,27.4406543,2,2459281.7911111,19.957207,ZTF20abnorit,171.3584544,0.11872066
