d:snn_sn_vs_all,d:snn_snia_vs_nonia,candid,dec,fid,jd,magpsf,objectId,ra,sigmapsf
0.814073503,0.8805386424,1300410080815015004,85.0088518,2,2459054.910081,18.431065,ZTF20abfcszi,7.8065656,0.058330588
0.3344183564,0.8832902908,1300409594115015002,85.008825,2,2459054.9095949,18.535835,ZTF20abfcszi,7.8063109,0.07643964
0.2000830173,0.7727658153,1300195620915015012,23.3724254,2,2459054.695625,19.364508,ZTF20abjwvae,239.1072194,0.11484445
0.0,0.0,1299340100115015017,30.6920951,1,2459053.8401042,20.437647,ZTF18acaqdaa,262.0163976,0.18405017
0.1575048715,0.8556692004,1298291792315015002,25.0013168,1,2459052.791794,19.624933,ZTF20abefeab,235.0635978,0.11669005
0.2898863852,0.8968142867000001,1297405230815015007,85.0088343,2,2459051.9052315,18.493067,ZTF20abfcszi,7.8066171,0.05847739800000001
0.1334609836,0.8888539672,1297404744115015005,85.0088311,2,2459051.9047454,18.60473,ZTF20abfcszi,7.8062205,0.074983254
0.0,0.0,1297365775515015007,14.2043683,2,2459051.8657755,19.950296,ZTF19aapreis,314.262256,0.21212672
0.2866394222,0.7253482938,1297330784115015004,85.0088192,1,2459051.830787,18.483313,ZTF20abfcszi,7.8058765,0.074414015
0.7603898048000001,0.8520471454,1297330300815015003,85.008837,1,2459051.8303009,18.434303,ZTF20abfcszi,7.8064767,0.07103694
0.34087055920000003,0.6517715454,1296193570915015008,23.3724147,1,2459050.6935764,19.300404,ZTF20abjwvae,239.1072043,0.10467256
0.5625016689,0.7898945808000001,1295192162315015003,25.0013404,1,2459049.6921644,19.571196,ZTF20abefeab,235.0635718,0.13783127
0.6890502572,0.8608564734,1295183932315015002,25.001329,2,2459049.6839352,19.64162,ZTF20abefeab,235.0636119,0.118618526
0.22302478550000002,0.868709743,1294449684115015010,85.0088003,1,2459048.9496875,18.500517,ZTF20abfcszi,7.8064291,0.07426178500000001
0.15188622470000002,0.8922495246000001,1294449210815015007,85.0088303,1,2459048.949213,18.562868,ZTF20abfcszi,7.8062281,0.06500784
0.1049454808,0.9094589949,1294414010815015007,85.0088223,2,2459048.9140162,18.670303,ZTF20abfcszi,7.8058719,0.073448494
0.25368770960000003,0.8279274106000001,1294413534115015004,85.0088302,2,2459048.9135301,18.601221,ZTF20abfcszi,7.8066946,0.06693257
0.3700846732,0.6688874364,1293242510915015004,23.3724183,1,2459047.7425116,19.486216,ZTF20abjwvae,239.107219,0.12195399
0.4661918283,0.6298503280000001,1293214860915015012,23.3723937,2,2459047.7148611,19.627836,ZTF20abjwvae,239.1072254,0.13884626
0.16274930540000002,0.7622168064,1292229282315015005,25.0013288,1,2459046.7292824,19.513813,ZTF20abefeab,235.0635811,0.13832001
0.46145898100000005,0.8408371210000001,1292191882315015009,25.0013723,2,2459046.6918866,19.545803,ZTF20abefeab,235.0635823,0.12587023
0.4543276131,0.8395416737,1291455304115015003,85.0087972,1,2459045.9553009,18.63715,ZTF20abfcszi,7.8064354,0.08126438
0.3877317011,0.8767189980000001,1291454820815015006,85.0088175,1,2459045.9548264,18.632275,ZTF20abfcszi,7.8063911,0.06557201
