objId,alertId,type,nb_points,norm,ref_time,amplitude,rise_time,temperature,r_chisq,err_ref_time,err_amplitude,err_rise_time,err_temperature,std_flux_g,std_flux_r,std_snr_g,std_snr_r,data_origin
ZTF20abpscln,1319323634115015001,SN Ia,23,6336.944197856205,2459063.7519681253,2.1370151922235547,2.8104494154670827,10688.817010514756,0.3200327647104407,0.27833963142612045,0.1454174318274715,0.4111484616037649,508.35378115288404,0.1592781246544779,0.17640674122557087,3.175935775390697,4.49539076359851,tns
ZTF20abpucsd,1319439621315015003,SN Ia,7,4290.607309689283,2459063.1658836617,1.936604982186518,2.405008665875577,9498.070993025289,0.16510155116917785,0.5067289165448275,0.28652110485147964,0.5011369024688267,1253.7191761339009,0.18908301102145408,0.30330377616873494,3.711210633465703,4.61095401122157,tns
ZTF20abpuijn,1322295985015015001,SN Ia,7,5172.413509027522,2459064.2161088055,2.530611368205015,3.7526506227161875,12017.910220351607,0.19593089599593846,0.9663382848076458,0.5730466997439595,0.5159849857608001,1770.2984694834804,0.35007938620652457,0.2804625357618853,3.2652192419651436,5.064230022027816,tns
ZTF20abpuwxl,1363352815515015012,SLSN-I,23,3180.093435738667,2459085.761406722,2.277192475581866,6.165430098046483,11741.593901343047,0.232761113401024,6.691433616757731,0.2571895423769668,4.940255251644418,829.036557747284,0.06615217333879553,0.04243961180680522,2.605362782515898,2.938848803298168,tns
ZTF20abpuxna,1335444134115015010,SN II,37,2590.358256099691,2459056.1887325053,1.1940001768053612,2.9114905935158584,5303.268012974965,1.0616160487202748,6.059496743902679,0.043008153336760696,2.6148515834516792,187.3860888986128,0.09819113965931602,0.08394183976664384,1.1588350372842,1.7854905294919874,tns
ZTF20abqbzuv,1331242325815015002,SN Ia,11,18939.118950906115,2459066.886544054,1.152156181142153,1.789314903078553,7041.031096460695,48.68982124188938,0.17202265693162452,0.02071072365068034,0.14831579843482476,246.28163463294732,0.28301545764743846,0.21850371337391236,5.568108871728701,5.129898539888916,tns
ZTF20abqefja,1325185714315015045,SN Ia,13,3904.8111667586318,2459066.0499126487,1.9531799995028494,2.8277641178757733,9885.577951240366,0.759946383397959,0.47243863987511725,0.1567258083340848,0.547146575497251,693.2309433515193,0.2480899746258145,0.1446620359903751,3.8182974884311354,2.726395708335505,tns
ZTF20abqetet,1339364894515015016,SN Ia,46,3666.40355126167,2459065.6457250193,1.2114579284142906,1.81158639862305,6637.5816987091275,2.706868569080701,0.4883338941665137,0.019787365412214722,0.3925638393396999,217.36889014852204,0.1548190060842288,0.12387707892564959,2.0667449564593126,2.318612471770662,tns
ZTF20abqferm,1335351853115015006,SN II,23,3046.2116225312875,2458829.218072648,1.3628412482314374,19.221783294478545,7850.451135771752,2.757735731415897,469.41523508346324,0.03916107276767586,200.09873983551088,347.40889684739705,0.11535641688696666,0.14048125786377597,1.9598513497671517,3.4424646952295124,tns
ZTF20abqgbum,1325206844815015011,SN IIn,26,3463.217982725937,2459069.009233057,1.8754574816175313,2.415167746013355,9377.73356068237,0.10667129744609528,0.35167957184451853,0.15704514116367435,0.34273564052022565,591.0896701952533,0.21980829843984387,0.205647568867408,2.979905921837848,1.9066934731950218,tns
ZTF20abqhsxb,1337472234215015031,Nova,42,7525.930634737898,2459212.507094684,3.08054067344892,80.20847325184921,6297.480926717991,11.387493167337828,81.95772886526272,2.206569176571314,13.727331694707345,154.90749134819862,0.05263431236438707,0.14856774531239467,2.3366550502611254,3.6541803809242825,tns
ZTF20abqlmwn,1363436164215015021,SN II,28,4179.073573788854,2459095.954819842,2.5011835155640076,18.854148690373684,3962.9110956349923,0.29610909638928684,13.557789136771474,0.8752045902731121,10.246305232166435,102.4606100179385,0.07033945283191265,0.1570103578199375,1.6462904578143942,3.992881391012342,tns
