,objId,alertId,type,norm,ref_time,amplitude,rise_time,temperature,r_chisq,err_ref_time,err_amplitude,err_rise_time,err_temperature,std_flux_g,std_flux_r,std_snr_g,std_snr_r,sigmoid_dist,snr_rise_time,snr_amplitude,Fvar,nb_points,data_origin
202,ZTF18aajlqwf,1237310641115010000,Unknown,10470.629518977148,2459292.811147256,2.46134778052676,7.296617280892143,11434.79704341081,31.28672540076288,1.424123697611649,0.4725139179502917,0.9403714855268824,1740.768580628508,0.3566429381635,0.2568725607947448,6.463533437717909,2.638446407861364,2.742921654514641,7.759292357534541,5.209048214291315,0.7792606646410658,8.0,extragal
2485,ZTF18abobuyh,1632397556115010016,Unknown,26224.13433073234,2459408.591909048,6.723305001891368,40.63565986414118,19392.252806629396,46.1525148443446,30.85523788411258,3.121622496347272,8.969570080824438,2377.53666932747,0.2845233186421527,0.2114632025075821,8.21586634091792,5.245794321194411,0.5454708481712385,4.530391033012159,2.1537854143986213,0.5413572040445822,19.0,extragal
1175,ZTF18abyythd,1130301883015010001,Unknown,76351.1934565031,2458959.2853063485,5.236167268411299,25.88973190306069,16795.687901668225,50.933729552956784,4.3030172671409765,0.8438859477021134,1.7100176323445435,1474.9245352057303,0.3400346984408764,0.2180815364662438,12.660647819731894,6.766232014008608,1.561779229802091,15.140037981692746,6.2048281318930485,0.5795588127696035,7.0,extragal
2973,ZTF18aakvxgh,1654348591215010000,Unknown,5151.391491153845,2459758.422172808,9.999679587837822,13.171375380550897,22221.67982164102,2.9358975486411234,4.311894058124787,6.454106626993561,2.1295028782538354,1237.6599851299943,0.3632932811188035,0.2832684350861434,5.355188335255645,3.118549199631093,1.9238410614137773,6.185187874153639,1.5493514696542674,0.3851927667972865,5.0,extragal
2,ZTF19aapreis,ZTF19aapreis-7,TDE,7267.107757350108,58584.727274436176,2.285243081805396,6.842197191529771,11449.605963004524,0.6118401258964278,1.649300897419869,0.3581073267376663,1.59589560139511,1280.4229676716568,0.0117759103079502,0.1916343057775901,0.7893820522227752,3.1442894071183622,6.383323008829316,4.287371420504209,6.381447435392643,0.0,7.0,tdes_ztf
3156,ZTF18aaisdeb,2218474320015010013,Unknown,45313.29977908172,2458915.020221786,3.642782228806493,35.70773869200195,12625.821873667132,83.51213654151226,9.954618761158288,0.4599428340555418,2.8145789741300398,999.561623740984,0.2343085180511556,0.314536842291773,5.998286362073606,5.97291958964125,0.6148682195503474,12.686706971169246,7.920076059640484,0.5249735250237365,17.0,extragal
2063,ZTF24aajvqre,2669311341215015001,SN candidate,32042.285624811484,2460422.7195111434,2.072336305558859,2.5908617581190905,10055.055335092808,1.0201571469222217,0.3124879037148152,0.1489264422385069,0.163608332193933,551.002370966934,0.3328595472204134,0.4207323036417815,7.152436203494437,11.519043398176986,4.637391678228905,15.835756794146732,13.915166940199883,0.0,7.0,extragal
2241,ZTF18abudycy,2118187250115010004,Unknown,4546.260257143331,2458796.347892089,3.099647452271208,9.111178691779225,14103.299019945403,1.7016535624737257,2.7004895534924764,1.9238277728894533,5.7710062205096655,5400.408795617933,0.2644532310768849,0.1561211045604132,1.0456897552924138,1.028921126859883,4.09140273419342,1.5787851101942796,1.611187600029163,0.0,5.0,extragal
3149,ZTF19abzauop,1542198930115010002,Unknown,13132.391529779852,2459458.7240355094,9.999791794331507,18.13029409868897,20907.949534509906,16.496951039327534,7.319823538333958,6.607183523583486,3.74599596807094,1654.22174674527,0.2645959100751978,0.2135145916354142,5.6679957967160846,6.198509553614397,1.003912600189465,4.839912870495014,1.5134726859997978,0.3826967897393999,9.0,extragal
1654,ZTF24aamtsgz,2691337444815015013,SN candidate,8096.690606862467,2460444.7951941434,2.293225567610923,2.2507069904866444,11568.37965472311,0.2443189856799223,0.2182753092564193,0.2055605414195066,0.1564638236988658,766.3208734066875,0.3012832099914993,0.2283814282855718,3.872242769115813,2.7368189337776743,5.391501518395518,14.384839493750398,11.15596189703997,0.0,20.0,extragal
907,ZTF18abmwszl,2597153466115010001,Seyfert_1,7199.165708016153,2459423.602866422,2.765207347601915,12.310552183696714,11475.455382516097,1.7858178293810547,2.1726234845294123,0.3564822492648828,1.5838011956524147,771.5289293482901,0.2113154247707158,0.2024360655210004,4.72686341639984,3.889915823215605,2.133765211009738,7.77278879286717,7.756928580046177,0.1306948407444119,23.0,extragal
95,ZTF18acxfcda,1595234171115015023,Unknown,34827.71262497408,2459677.615860451,1.4509198760875432,7.82994939996505,13057.950310450102,94.36977629210716,0.4534009373157897,0.1040184542270223,0.6489790733321492,553.3220065359947,0.2649322298809777,0.214500671108887,6.812335528348505,7.389378812503438,7.674990549638448,12.065026010411373,13.94867753870752,0.5974784562011154,38.0,extragal
2841,ZTF19aaslbyy,1218188710515015002,Unknown,3755.3036236204207,2458970.1091817864,2.178494060970333,10.945247503985986,10603.788035928232,0.9345457373705998,4.690313856194559,0.4124953553921144,4.698061712858583,1493.773020918301,0.1997908135570818,0.1507614787774006,1.829517156296237,3.011893050437106,2.426643737752034,2.329736851695428,5.28125718870089,0.0,10.0,extragal
2628,ZTF24aamdfll,2686272702115015008,Early SN Ia candidate,5232.39940264375,2460436.930957785,2.1071220528684,2.6168552955064053,10833.136582327224,0.4544671605589361,0.5393113463823972,0.2926876080419193,0.4576618078034941,1055.1413993717451,0.2609034902102125,0.232238239178326,3.6540927798125065,2.521324071426704,6.053713685336315,5.717879995417931,7.199218535301343,0.0,10.0,extragal
1689,ZTF17aaajlbs,1226256491015015006,Unknown,121636.77638454828,2458863.926900493,5.15325466424623,9.355718462034028,18723.37678979229,3.052122673075908,0.6169701165185798,1.0113490074042932,0.2784676869325901,1787.6457637459262,0.4834738298843175,0.3204813211433337,28.86011819171877,14.580624695752574,3.84328694292454,33.597142149921346,5.095426629697757,0.6252399517420464,7.0,extragal
3006,ZTF18aawrbzx,1671369846215010004,Unknown,38765.14256262453,2459691.160705371,2.8046985965156184,11.925566529270736,11870.39419887713,0.9588854677360308,1.6547912701612253,0.5563075116179184,1.0430573650392831,1309.1709731064711,0.2355926613712653,0.1613318511427882,5.634690571069223,21.31962482852403,3.3340378363915284,11.433279634453855,5.0416335173304905,0.52500829206461,5.0,extragal
312,ZTF24aainaay,2658380601115015005,SN candidate,4537.468356602403,2460410.118367055,2.6919943442286898,3.177026413803902,12570.827900003897,0.700368771685068,0.8046961212477776,0.6619291356445036,0.6316745561839414,1842.8914172369505,0.2811880651180482,0.1997086200148736,3.073178605606917,0.6037917765886438,2.75887304775379,5.029530448395587,4.066892057270698,0.0,7.0,extragal
615,ZTF18aabkjkr,1450452045915010001,Unknown,16672.440494858165,2458809.552494457,2.905543110496936,17.63611878882312,13841.243478741904,32.1948932420071,3.416917598056433,0.5186260121435962,2.6709467905866813,1278.265209030537,0.2639353992955607,0.2063083178988512,9.23470790339378,5.245247933226166,2.45929729564642,6.602946509821446,5.602386001596184,0.0,13.0,extragal
2452,ZTF23abtjkql,2561309956115015034,SN candidate,6030.450094840489,2460294.907958552,2.599971627908673,2.4843978740316746,12191.803195097978,0.2199993605342382,0.4413398141014041,0.4632095061531545,0.2445708482609556,1234.7299999478982,0.2200597589746352,0.2672483236753492,2.721783910731156,3.718590040231475,5.609253652334849,10.158192980468533,5.612949633743105,0.0,17.0,extragal
