id,type,reference_time,amplitude,rise_time,temperature,r_chisq,err_reference_time,err_amplitude,err_rise_time,err_temperature
ZTF20abygigy,SN Ia,2459097.7310542325,1295953285813496.5,2.9276373873079655,11617.690221981837,0.5843910101407533,0.1841882748803349,3.3393162497330318,0.12365238037104731,2810.8784689530903
ZTF20abyjopm,SN Ia,2459096.906466515,1095883156613326.8,4.4928369201604665,10331.148525091234,0.17816788756834237,0.5042413083168602,3.6901899000614637,0.8559117816030527,1745.9554632197842
ZTF20abyjoxb,SN Ia,2459084.9797719712,772278404102579.5,0.0003536301820842567,9191.061237015618,1.1517441305367875,0.0,0.0,0.0,0.0
ZTF20abyjpxx,SN Ia,2459099.1339539895,1038989427071004.2,4.539967837487038,9734.649508347036,0.14664457185174867,0.7800062934639558,2.6126451993837194,0.6070878173370933,1498.7572494577234
ZTF20abykfsr,SN II,2459096.462987522,642878603201019.1,1.5338983212090045,6335.746945431552,0.49759726856252795,0.08811348905586602,0.14213232947749965,0.12549240431992756,263.0853648142297
ZTF20abylbuf,SN Ia,2459106.7699323124,851779989238453.6,0.05829109387478153,9053.806922902731,46.41161710437345,0.6020788357254083,0.16544369564158234,0.5557012292250496,247.5094259255202
ZTF20abypkpz,SN Ia,2459108.5833299533,788307349436663.1,0.022202818406079124,8468.693024647346,18.15762346725182,8.048036653058475,0.4997546360085634,25.868881332389233,897.169917201913
ZTF20abyptpc,SN Ia,2459104.586793713,945030918009210.5,2.124597220444858,9977.078767295714,1.1251379137969777,0.03867981236631002,0.221653869680988,0.012160950057789915,352.7078090678351
ZTF20abyqdyg,SN Ia,2459112.212517525,398423011987877.1,0.30932687766351674,6875.1206422201,142.19693974517654,39.102221830779,0.041745048172778354,15.595174776953852,189.168755473464
ZTF20abyrmdl,SN IIb,2459098.901890842,845056546953310.1,5.1411692346093885,4513.65295272037,0.09650696844245771,1.0245261000928076,3.062896395083672,1.6190032967632273,456.9677184699988
ZTF20abyskia,SN Ia,2459108.7859226814,1083751340802763.5,0.008724691951267063,11899.064527754654,45.99374733024729,0.020874882316015798,1.4051675996027155,0.016980232655758824,1171.0801447080357
ZTF20abyvtds,SN Ia,2459104.510483652,1124587106639655.4,2.814827872306008,11384.7528060586,0.531924920809455,0.04462074257541809,0.6731897471931525,0.0347303818409912,586.4424105429653
ZTF20abywoaa,SN II,2459093.223430944,584559063124318.5,1.5702542824518189,5936.844830208142,1.258868228475043,54.27424018475096,0.11125403992412863,27.323017170732456,183.29386412681333
ZTF20abywspv,SN Ia,2459092.2387929857,1165291897687546.0,4.485363922445411,12640.434442167265,2.0204446125134243,46.57024740838576,21.398649796706195,16.88978270697692,62105.495290310704
ZTF20abywsut,SN Ic,2459109.8152438677,596467462210681.6,0.003013130950427658,6484.117089493353,38.23643276279832,2.0015390953675682,0.13541957318769482,22.398848883630162,243.87036873955958
