id,type,MJD,FLT,FLUXCAL,FLUXCALERR,fp_fname
ZTF18aakelin,TDE,2458972.77875,g,843.2781272328646,133.4811196796481,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458972.7796875,g,744.7005204391736,132.18064069037655,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458973.7379977,g,830.6902819335843,147.98882310615653,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458973.7384838,g,894.0311375789236,148.5029540117722,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458973.7612963,g,834.5671246158128,151.52592649717178,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458973.7627199,g,775.0739779304735,156.07613798664053,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458973.7655556,g,898.5155560285741,151.84201309394624,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458974.7128819,g,1113.115332103117,185.40964666333585,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458974.9431829,g,854.8719777521662,188.70468304736428,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458975.6935648,g,1335.4745293334217,199.57497608455895,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458975.7826505,g,1069.00128608894,205.0949952351877,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458975.9221644,g,1095.4020301813423,211.59041582955902,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458976.6988426,g,922.0333851772123,218.36056901945767,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458976.7132523,g,1154.8563986229015,208.68463563527087,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458976.9435764,g,979.6397004288772,286.82696740560476,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458977.6948843,g,1123.969420377766,294.82145801565747,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458978.7126505,g,1109.563359342371,119.35011594856367,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458978.9422685,g,1578.409811607474,298.79396982999225,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458979.7031597,g,1326.918398491384,72.5387768418247,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458979.7383333,g,1004.8778074277561,90.97329136259971,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458979.9225579,g,1213.2737712350902,202.71354266696065,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458980.712963,g,1007.7831117803358,58.23484409943098,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458980.9424537,g,1335.978900620635,224.17595842287236,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458981.6918287,g,1207.3992007829697,71.15007447734564,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458981.9223264,g,1165.3953800963059,142.04941972155214,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458985.7012616,g,1072.778769212454,70.4217359524612,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458985.7996759,g,1347.0303424302604,77.03032249106785,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458986.7128935,g,1344.6962488856723,73.47371619988436,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458986.9421875,g,1499.230204687054,96.50341550670801,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458987.6933218,g,1279.8839588220137,61.13724700421482,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458987.9209259,g,1203.0108002219736,69.49960185271867,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458991.6948958,g,1478.3565755177958,72.56056982102047,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458991.8092014,g,1108.7315565113859,77.78800529130687,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458991.8116088,g,1273.0114444231094,78.5915017014973,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458991.9210532,g,1606.469114300831,91.96034396984844,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458864.988669,r,385.50003725006894,102.74153872590051,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458867.9788657,r,329.29770218535015,107.5245123934962,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458894.0169329,r,370.02838825582666,109.68221822078218,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458895.0120486,r,309.7456095395882,97.94843519073697,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458900.9712847,r,313.03081772739404,99.63677751331832,batchfp_req0000167821_lc.txt
