id,type,MJD,FLT,FLUXCAL,FLUXCALERR
ZTF17aaazdba,TDE,2458511.8281944,r,70.2866256981,20.059643
ZTF17aaazdba,TDE,2458511.8286574,r,149.05184829549,32.337517
ZTF17aaazdba,TDE,2458511.8317361,r,-262.02094930429,24.2502
ZTF17aaazdba,TDE,2458511.8321991,r,247.52571610033,27.328909
ZTF17aaazdba,TDE,2458511.8352662,r,-102.58346331237,23.11764
ZTF17aaazdba,TDE,2458511.8357292,r,334.47999354147,28.402992
ZTF17aaazdba,TDE,2458511.8387847,r,-110.86997819073,23.758272
ZTF17aaazdba,TDE,2458511.8392593,r,335.72326545559,31.031946
ZTF17aaazdba,TDE,2458511.8422917,r,-27.90062619855,25.590586
ZTF17aaazdba,TDE,2458511.8427662,r,157.75385811815,27.687248
ZTF17aaazdba,TDE,2458511.8457986,r,-150.21885249378,24.989185
ZTF17aaazdba,TDE,2458511.8462616,r,133.14288048601,27.76302
ZTF17aaazdba,TDE,2458511.8497569,r,150.98857937482,29.449934
ZTF17aaazdba,TDE,2458511.8527662,r,-375.91749608681,21.668379
ZTF17aaazdba,TDE,2458511.8532292,r,124.85266185125,26.89031
ZTF17aaazdba,TDE,2458511.8562384,r,-171.0422933178,22.651075
ZTF17aaazdba,TDE,2458511.856713,r,364.84648635929,28.019062
ZTF17aaazdba,TDE,2458511.8597106,r,-118.81575197514,21.384197
ZTF17aaazdba,TDE,2458511.8601736,r,283.9372113222,28.683107
ZTF17aaazdba,TDE,2458511.8631597,r,-97.74820753423,26.476892
ZTF17aaazdba,TDE,2458511.8636227,r,144.45528613278,29.273863
ZTF17aaazdba,TDE,2458511.8700579,r,-27.01923825381,31.634066
ZTF17aaazdba,TDE,2458511.8705093,r,290.0264655245,33.119347
ZTF17aaazdba,TDE,2458511.8734838,r,-207.76965423475,26.945505
ZTF17aaazdba,TDE,2458511.8739468,r,347.99162141684,33.884884
ZTF17aaazdba,TDE,2458512.7246181,r,39.73709449755,54.135281
ZTF17aaazdba,TDE,2458512.7319792,r,-300.12580375018,47.24313
ZTF17aaazdba,TDE,2458512.7324306,r,-293.80382329531,50.440876
ZTF17aaazdba,TDE,2458512.7344329,r,86.96708326879,31.240622
ZTF17aaazdba,TDE,2458512.7348958,r,-321.7003160298,39.537792
ZTF17aaazdba,TDE,2458512.7369097,r,7.45670623634,34.124821
ZTF17aaazdba,TDE,2458512.7373727,r,-4.1627255335,41.464668
ZTF17aaazdba,TDE,2458512.7393866,r,-38.73226898211,43.043179
ZTF17aaazdba,TDE,2458512.7398495,r,-2.22011519037,41.536938
ZTF17aaazdba,TDE,2458512.7468981,r,50.70398372173,34.081875
ZTF17aaazdba,TDE,2458512.7494097,r,425.35127115734,32.74477
ZTF17aaazdba,TDE,2458512.7498727,r,264.87094310765,36.751598
ZTF17aaazdba,TDE,2458512.751956,r,-10.57587053607,29.384197
ZTF17aaazdba,TDE,2458512.7524074,r,-89.59349334448,31.295847
ZTF17aaazdba,TDE,2458512.7604051,r,65.67648908839,24.064447
ZTF17aaazdba,TDE,2458512.7608681,r,796.06322931889,33.576519
ZTF17aaazdba,TDE,2458512.7635648,r,5197.96393400364,204.320755
ZTF17aaazdba,TDE,2458512.7640162,r,390.33643370687,34.092113
ZTF17aaazdba,TDE,2458512.7667245,r,36.35658163942,34.589485
ZTF17aaazdba,TDE,2458512.7671875,r,-85.05518084189,41.801758
ZTF17aaazdba,TDE,2458512.769919,r,108.57744467407,39.181057
ZTF17aaazdba,TDE,2458512.7703704,r,23.0646845063,45.051388
ZTF17aaazdba,TDE,2458512.7829745,r,51.51227281989,39.640606
ZTF17aaazdba,TDE,2458512.7834259,r,66.67045774314,46.373062
ZTF17aaazdba,TDE,2458512.7862847,r,4.44639102215,35.63818
ZTF17aaazdba,TDE,2458512.7867477,r,218.47610196126,40.255859
ZTF17aaazdba,TDE,2458512.7900579,r,-80.8260870502,43.992615
ZTF17aaazdba,TDE,2458512.7963426,r,47.164101462,27.738098
ZTF17aaazdba,TDE,2458512.796794,r,-164.29767290507,32.127434
ZTF17aaazdba,TDE,2458512.7999421,r,-16.90815947993,35.284199
ZTF17aaazdba,TDE,2458512.8003935,r,25.8070733986,37.373627
ZTF17aaazdba,TDE,2458512.8035301,r,-71.18497181292,32.157673
ZTF17aaazdba,TDE,2458512.8039931,r,-58.86501137779,37.74995
ZTF17aaazdba,TDE,2458512.8075926,r,15.82516762402,41.906769
ZTF17aaazdba,TDE,2458512.8107407,r,-68.92045469631,32.093361
ZTF17aaazdba,TDE,2458512.8111921,r,-52.21949431683,40.244434
ZTF17aaazdba,TDE,2458512.8143287,r,-40.40140815639,29.282236
ZTF17aaazdba,TDE,2458512.8147917,r,-97.34029899776,30.481169
ZTF17aaazdba,TDE,2458512.8179167,r,-201.01190616311,26.722692
